covid_id,Departamento,Cantidad Casos,FECHAFK,Estado
368,CASANARE,4,20210415,Fallecido
369,GUAINIA,1,20200916,Fallecido
370,CUNDINAMARCA,322,20201215,Leve
371,MAGDALENA,53,20210328,Leve
372,ATLANTICO,2,20200624,
373,SANTANDER,219,20211203,Leve
374,CARTAGENA,14,20211024,Leve
375,BOGOTA,93,20201223,Fallecido
376,AMAZONAS,49,20200525,Leve
377,CAUCA,2,20200710,Fallecido
378,BOLIVAR,37,20210410,Leve
379,CAUCA,59,20220213,Leve
380,AMAZONAS,2,20210217,Fallecido
381,PUTUMAYO,4,20210421,Fallecido
382,CALDAS,2,20210314,Fallecido
383,META,1,20220125,
384,CALDAS,1,20220128,Grave
385,SUCRE,1,20210324,
386,ANTIOQUIA,3,20201224,
387,CARTAGENA,2,20210707,
388,MAGDALENA,11,20220217,Leve
389,GUAJIRA,173,20200902,Leve
390,VALLE,190,20211202,Leve
391,MAGDALENA,19,20210821,Leve
392,CASANARE,1,20201121,Fallecido
393,ATLANTICO,2,20210624,Fallecido
394,TOLIMA,281,20210129,Leve
395,GUAINIA,4,20201108,Leve
396,STA MARTA D.E.,206,20210611,Leve
397,CAUCA,190,20220201,Leve
398,CESAR,134,20210210,Leve
399,META,2,20200922,
400,VAUPES,45,20200908,Leve
401,QUINDIO,211,20210614,Leve
402,GUAINIA,1,20201223,Leve
403,BARRANQUILLA,2,20210929,
404,NORTE SANTANDER,175,20220124,Leve
405,CALDAS,3,20201225,Fallecido
406,CALDAS,13,20210912,Leve
407,NARIÑO,1,20201201,
408,VALLE,319,20200627,Leve
409,NORTE SANTANDER,2,20200723,
410,BARRANQUILLA,5,20200622,
411,CUNDINAMARCA,1,20210506,
412,GUAJIRA,3,20200930,Fallecido
413,ANTIOQUIA,1,20211212,
414,TOLIMA,4,20210219,Fallecido
415,ANTIOQUIA,28,20210110,Fallecido
416,BARRANQUILLA,458,20220201,Leve
417,GUAVIARE,9,20210730,Leve
418,ANTIOQUIA,"2,359",20210118,Leve
419,QUINDIO,1,20210523,
420,MAGDALENA,12,20210220,Fallecido
421,CUNDINAMARCA,3,20210403,
422,BOYACA,2,20200426,Leve
423,CASANARE,1,20200909,Fallecido
424,AMAZONAS,10,20210809,Leve
425,BARRANQUILLA,2,20220208,Moderado
426,NORTE SANTANDER,1,20210930,Fallecido
427,PUTUMAYO,1,20200907,
428,STA MARTA D.E.,3,20200425,Leve
429,BOGOTA,6,20200526,
430,CASANARE,2,20210717,Fallecido
431,NARIÑO,87,20210413,Leve
432,STA MARTA D.E.,184,20210528,Leve
433,BOYACA,15,20211210,Leve
434,RISARALDA,4,20210622,
435,SANTANDER,93,20200715,Leve
436,BOLIVAR,1,20220128,Fallecido
437,AMAZONAS,3,20200831,Leve
438,CASANARE,11,20210525,Fallecido
439,CUNDINAMARCA,90,20211228,Leve
440,SANTANDER,679,20201106,Leve
441,ARAUCA,28,20220122,Leve
442,STA MARTA D.E.,36,20200920,Leve
443,TOLIMA,4,20210402,Fallecido
444,CUNDINAMARCA,6,20200710,
445,BARRANQUILLA,371,20200621,Leve
446,CAUCA,48,20200718,Leve
447,CARTAGENA,530,20210605,Leve
448,BOGOTA,6,20210214,
449,BOLIVAR,1,20201226,Fallecido
450,RISARALDA,1,20210729,
451,NARIÑO,206,20210423,Leve
452,BOGOTA,14,20220130,Grave
453,TOLIMA,3,20210426,Fallecido
454,HUILA,8,20210730,Fallecido
455,QUINDIO,1,20210617,
456,STA MARTA D.E.,15,20220222,Leve
